Name,Version Count
language-nix,5
language-puppet,84
lapack,12
lapack-carray,5
lapack-comfort-array,2
lapack-ffi,3
lapack-ffi-tools,7
largeword,14
latex,5
lattices,16
lawful,1
lazy-csv,3
lazyio,11
lca,9
leancheck,23
leancheck-instances,3
leapseconds-announced,9
learn-physics,16
lens,146
lens-action,9
lens-aeson,13
lens-datetime,5
lens-family,12
lens-family-core,12
lens-family-th,9
lens-misc,1
lens-process,12
lens-properties,4
lens-regex,2
lens-regex-pcre,9
lens-simple,10
lens-typelevel,3
lenz,14
leveldb-haskell,20
libffi,1
libgit,3
libgraph,12
libmpd,32
liboath-hs,2
libraft,8
libyaml,4
LibZip,13
lifted-async,32
lifted-base,33
lift-generics,4
line,13
linear,75
linear-circuit,5
linux-file-extents,2
linux-namespaces,5
List,14
ListLike,28
listsafe,2
list-t,28
ListTree,5
list-witnesses,7
llvm-hs,20
llvm-hs-pure,13
lmdb,7
load-env,12
loc,13
locators,5
loch-th,4
lockfree-queue,5
log-base,7
log-domain,31
logfloat,25
logger-thread,3
logging-effect,23
logging-facade,5
logging-facade-syslog,1
logict,18
loop,3
loopbreaker,2
lrucache,16
lrucaching,7
lsp-test,28
lucid,31
lucid-extras,5
lxd-client-config,2
lzma,4
lzma-conduit,21
machines,22
machines-binary,4
machines-directory,10
machines-io,10
magico,7
mainland-pretty,31
main-tester,3
makefile,13
managed,9
markdown,30
markdown-unlit,9
markov-chain,7
massiv,35
massiv-io,12
massiv-test,4
mathexpr,4
math-functions,21
matplotlib,19
matrices,11
matrix,20
matrix-market-attoparsec,14
matrix-static,5
maximal-cliques,2
mbox,6
mbtiles,5
mcmc-types,4
median-stream,7
megaparsec,31
megaparsec-tests,2
mega-sdist,29
memory,33
MemoTrie,26
menshen,5
mercury-api,3
merkle-tree,2
mersenne-random-pure64,9
messagepack,11
metrics,9
mfsolve,6
microformats2-parser,13
microlens,38
microlens-aeson,15
microlens-contra,3
microlens-ghc,23
microlens-mtl,20
microlens-platform,29
microlens-process,9
microlens-th,27
microspec,8
microstache,3
midair,5
midi,27
midi-music-box,8
mighty-metropolis,7
mime-mail,40
mime-mail-ses,28
mime-types,10
minimorph,10
minio-hs,17
miniutter,11
mintty,4
miso,47
missing-foreign,2
MissingH,26
mixed-types-num,16
mltool,5
mmap,13
mmark,24
mmark-cli,5
mmark-ext,9
mmorph,15
mmtf,6
mnist-idx,6
mockery,10
modern-uri,13
modular,9
monad-control,29
monad-control-aligned,3
monad-coroutine,13
monad-extras,19
monadic-arrays,9
monad-journal,24
monad-logger,61
monad-logger-json,1
monad-logger-prefix,12
monad-logger-syslog,8
monad-loops,10
monad-memo,8
monad-metrics,10
monad-par,17
monad-parallel,14
monad-par-extras,3
monad-peel,6
monad-products,11
MonadPrompt,6
MonadRandom,29
monad-skeleton,11
monad-st,10
monads-tf,6
monad-time,4
monad-unlift,5
monad-unlift-ref,2
mongoDB,64
monoidal-containers,19
monoid-extras,34
monoid-subclasses,33
monoid-transformer,4
mono-traversable,58
mono-traversable-instances,1
mono-traversable-keys,1
more-containers,14
mountpoints,3
mpi-hs,9
msgpack,28
msgpack-aeson,1
mtl,17
mtl-compat,7
mtl-prelude,10
multiarg,24
multimap,4
multipart,6
multiset,11
multistate,15
murmur3,4
murmur-hash,8
MusicBrainz,12
mustache,26
mutable-containers,14
mwc-probability,16
mwc-probability-transition,7
mwc-random,34
mysql,18
mysql-haskell,18
mysql-haskell-nem,1
mysql-simple,22
n2o,2
nagios-check,6
named,4
names-th,11
nano-erl,2
nanospec,4
nats,8
natural-induction,4
natural-sort,3
natural-transformation,5
ndjson-conduit,6
neat-interpolation,22
netlib-carray,4
netlib-comfort-array,2
netlib-ffi,4
netpbm,8
netrc,2
nettle,5
netwire,27
netwire-input,6
netwire-input-glfw,9
network,73
network-anonymous-i2p,4
network-attoparsec,10
network-bsd,3
network-byte-order,8
network-conduit-tls,31
network-house,3
network-info,13
network-ip,8
network-messagepack-rpc,7
network-multicast,19
network-simple,18
network-simple-tls,9
network-transport,16
network-transport-composed,3
network-uri,10
newtype,4
newtype-generics,12
nicify-lib,2
NineP,4
nix-paths,3
NoHoed,2
nonce,8
nondeterminism,3
non-empty,11
nonempty-containers,7
nonemptymap,5
non-empty-sequence,3
non-negative,12
not-gloss,34
no-value,1
nowdoc,6
nqe,9
nsis,13
numbers,19
numeric-extras,6
numeric-prelude,26
numhask,22
NumInstances,4
numtype-dk,3
nuxeo,13
nvim-hs,22
nvim-hs-contrib,5
nvvm,8
oauthenticated,10
ObjectName,5
oblivious-transfer,1
odbc,11
oeis,16
oeis2,5
ofx,6
old-locale,8
old-time,11
once,4
one-liner,20
one-liner-instances,5
OneTuple,5
Only,1
oo-prototypes,1
opaleye,27
OpenAL,16
open-browser,7
openexr-write,3
OpenGL,36
OpenGLRaw,42
openpgp-asciiarmor,4
opensource,2
openssl-streams,10
open-witness,5
operational,15
operational-class,5
optional-args,3
options,7
optparse-applicative,40
optparse-enum,1
optparse-generic,15
optparse-simple,9
optparse-text,2
ordered-containers,6
oset,5
overhang,1
packcheck,8
pager,2
pagination,4
pairing,12
palette,9
